titulo,preco_antigo,preco_novo,desconto,link
Creatina Creapure® 300g - 100% Pura E Produzida Com Matéria-prima Alemã - 3vs Nutrition,192,"R$134,90",30% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=cBwW%2F1Cj2PTtwXfujNRT3WnNzzZZG6jy3f0eE2NPjiq2fDvNP8jG2784owPRhPGYDFhr6VNnEqP3omPVZZAOkijj6%2BZskksOexLPdEo84qMVgENDQGiDnVH3jS7%2BSrwuLDR8iAJZqtLrf%2FMuLebYgcNEXtsScbwhTC9qW9proheqJLy13dZehBqxkCgxNEjSiE%2F5egTf0q3IqZAkJ8hKxPnsQmVgTCwa5%2Fu7ez4GQ3aicO%2BnYi8WQB0vwd7pAelQKo7OP2mZPsmVYTc%2BHjAVAD6Z0VtLFp2cGGrOEK678edHoYqwG0e04PDHl2magiGkhFx0bJ50Xzzr3zkU4TQCFay9O3E7P1fYkaXK%2F1CkV5oBHpUdlB8V9RXnrMQikwB65F8NERj9HuHc3rHiOIBdl3pEZY27ZHWW0rOwy67cn2%2BngfyU09o6LTZAGVBA0Gbzgwz5XAuGkOdbjFb5mpy%2FKX%2Bc3fFZxlGESRZKTRrSrYor%2F90KNkJrUJEBMM4KtDinbDcH6r1rU6o55Ab4q3eJpl7Xewc6sOX8c67g4IY%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fcreatina-creapure-300g-100-pura-e-produzida-com-materia-prima-alem-3vs-nutrition%2Fp%2FMLB39012258%23wid%3DMLB3805264285%26sid%3Doffers%26searchVariation%3DMLB39012258%26position%3D13%26search_layout%3Dgrid%26deal_print_id%3Dce2c5ac2-5220-4a1f-80a4-558760eee75d%26tracking_id%3Dbf0c604e-3534-4f68-b982-3b29abe7c579&lm=-1898937484#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB3805264285&sid=offers
"Fritadeira Elétrica Cube Fry Elgin 4,2 L Airfryer 110v",349,"R$219,90",37% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=E43%2BCuz6Z2LDR5fHlizz12qY1%2B3IPL6wYPfTOpfSXNosmTqdfHjyxx5fZPNPm9s%2F7cVI4kKoYUc62Ax%2BQhXd3cDreilklnbW%2BxAs%2Fom9cewQ19ZjYSNbN8dVguzpLTlzMttjhI%2FJSh4bM1Pa9e4FT%2FU65L6JyPLJNwUFvDUtQOlANwWyf2MfByeo0oAiipH6rXWG2QruSLTfyJ6yRIkVjWMblLd7wlKvhde7%2BvdptakIQfzl6WaHbflU31fAR1hwXx0nzBh6rGt7WjbV9IximHrcjHdZeKrXY%2FR2H8IYgJrVM%2FGVAjVHwrsnIxOk8TNACmHMeMSMOWew9Y9bBTuGVT2g5%2BO370iVYmnzgHwtDCkL4LGnh1D97sdb5FNr4epnYZNAGtTadS5e5mEgFZ57QAo3VHv7royQwIEK3Zo5k8z1MfS9MDb3frUv0YWJyuytoP8TogkjFUs2KI6Qt0%2BsyGRelhgxLS9ZhT8K%2Fv9tun3ccXqDYx7ZUVTPb4%2FZeMysFeGMtWl%2BfFyBkj%2BEQD7MvYnXWZRM0WuH0Y57&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Ffritadeira-eletrica-cube-fry-elgin-42-l-airfryer-110v%2Fp%2FMLB38054453%23wid%3DMLB5005769716%26sid%3Doffers%26searchVariation%3DMLB38054453%26position%3D14%26search_layout%3Dgrid%26deal_print_id%3Dce2c5ac2-5220-4a1f-80a4-558760eee75d%26tracking_id%3Dbf0c604e-3534-4f68-b982-3b29abe7c579&lm=1067867081#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB5005769716&sid=offers
Samsung Galaxy A55 5g Dual Sim 256 Gb Azul Escuro 8 Gb Ram,3.199,R$2.299,28% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=BvXWsSyW8TWodbM%2FNFtkesggrtXgOOTipWoi%2F5YayXdrpwitxi%2FPaa3bQ4gX8dxv%2FYyBDzI%2BIVOLbllNtfPuo6Jh233AgT7uZqyqw08eQrvJsSTgF4p5ddtOQ3iGTygfcMWj6Xr%2F70nJS93tYy82bMD%2Fts2f4yJl6cmP259sh4pkpZOfW25aMWf7X8R8F%2FLqql00B0PMa%2FX8j2ZrM0gHp9iPOUdomOQHRqmK53HsMHQUK7cVeXZsoRXmpJTon9TFZxtzIL8GgPYIPIRwiSZIjcLqFRaYjaabMskqfOvuUjZvzxd73qF4wprHzmO0iU%2FKSLzxKaoG6G26ix4Z4lelpvhF%2BZ1BF92F5lfWDWkQkTCgAWCqFY2sxbtHrRtsykBBJaaFCSRCE54xJNzlbk6Fh%2FTa6XGuUgTDAwwSu4JVjeSj1bGyfe1pEMzI1oLw5Ceikk01wb8OgG3AVDDMNXHVCxLyCn91Kv3Kopxknuq9AP%2FH%2B83Gy1awfAbnZWez7zYKr8E8DCbbX2zL7YubfpcsNQS5mMe5ajXDm%2BPAyQ%3D%3D&url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fsamsung-galaxy-a55-5g-dual-sim-256-gb-azul-escuro-8-gb-ram%2Fp%2FMLB34731718%23wid%3DMLB5336918534%26sid%3Doffers%26searchVariation%3DMLB34731718%26position%3D15%26search_layout%3Dgrid%26deal_print_id%3Dce2c5ac2-5220-4a1f-80a4-558760eee75d%26tracking_id%3Dbf0c604e-3534-4f68-b982-3b29abe7c579&lm=-1010382206#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB5336918534&sid=offers
Mini Projetor Portátil 4k Android Full Hd Smart Wifi Cinema,339,"R$220,93",35% OFF,https://produto.mercadolivre.com.br/MLB-3733825481-mini-projetor-portatil-4k-android-full-hd-smart-wifi-cinema-_JM#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB3733825481&sid=offers
Cafeteira Nescafé Dolce Gusto Mini Me Vermelha E Preta Cápsulas 110v,579,"R$426,55",26% OFF,https://www.mercadolivre.com.br/cafeteira-nescafe-dolce-gusto-mini-me-vermelha-e-preta-capsulas-110v/p/MLB15154783?pdp_filters=item_id%3AMLB2919108315#polycard_client=offers&wid=MLB2919108315&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Kit 5 Camisetas Básicas Masculina Dry Fit Lisa Tradicional,78,"R$49,70",37% OFF,https://produto.mercadolivre.com.br/MLB-2918685347-kit-5-camisetas-basicas-masculina-dry-fit-lisa-tradicional-_JM#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Smart Tv Samsung Un32t4300a 32  Hd Led,2.299,R$1.099,52% OFF,https://www.mercadolivre.com.br/smart-tv-samsung-un32t4300a-32-hd-led/p/MLB15822520?pdp_filters=item_id%3AMLB1632127417#polycard_client=offers&wid=MLB1632127417&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Preto",1.299,"R$944,10",27% OFF no Pix,https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-128gb-4gb-ram-cmera-de-ate-50mp-tela-67-nfc-ip54-bateria-5000-mah-preto/p/MLB44372580?pdp_filters=item_id%3AMLB3967008529#polycard_client=offers&wid=MLB3967008529&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Micro-ondas Philco Pmo23eb Limpa Fácil 20 Litros Potência De 1100w Cor Branco 220v,729,R$499,31% OFF,https://www.mercadolivre.com.br/micro-ondas-philco-pmo23eb-limpa-facil-20-litros-potncia-de-1100w-cor-branco-220v/p/MLB17484025?pdp_filters=item_id%3AMLB1963635453#polycard_client=offers&wid=MLB1963635453&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Presente Nativaspa Ameixa Boticário,172,"R$136,90",20% OFF,https://www.mercadolivre.com.br/presente-nativaspa-ameixa-boticario/p/MLB47210498?pdp_filters=item_id%3AMLB4026933959#polycard_client=offers&wid=MLB4026933959&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Tablet Samsung Tab A9 64gb 4gb Ram Enterprise Edition Tela 8.7.  X115 4g Grafite,1.299,R$1.299,,https://www.mercadolivre.com.br/tablet-samsung-tab-a9-64gb-4gb-ram-enterprise-edition-tela-87-x115-4g-grafite/p/MLB29265490?pdp_filters=item_id%3AMLB3913472765#polycard_client=offers&wid=MLB3913472765&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Cafeteira Portátil Nescafé Dolce Gusto Arno Mini Me Automática Preta Para Cápsulas Monodose 127v,579,"R$426,55",26% OFF,https://www.mercadolivre.com.br/cafeteira-portatil-nescafe-dolce-gusto-arno-mini-me-automatica-preta-para-capsulas-monodose-127v/p/MLB15154779?pdp_filters=item_id%3AMLB2789667558#polycard_client=offers&wid=MLB2789667558&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Smart Tv 43'' Britânia Btv43va4regb Roku Tv Led Dolby Audio,2.084,R$1.875,10% OFF no Pix,https://www.mercadolivre.com.br/smart-tv-43-britnia-btv43va4regb-roku-tv-led-dolby-audio/p/MLB45498165?pdp_filters=item_id%3AMLB5276786334#polycard_client=offers&wid=MLB5276786334&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Camisetas Raglan Proteção Uv Térmica Camisas Dry Fit Voker,52,"R$36,86",30% OFF,https://produto.mercadolivre.com.br/MLB-3401043657-camisetas-raglan-proteco-uv-termica-camisas-dry-fit-voker-_JM#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Celular Samsung Galaxy A56 5g 128gb 8gb Ram Rosa,2.999,R$1.979,34% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-128gb-8gb-ram-rosa/p/MLB47106876?pdp_filters=item_id%3AMLB5317594942#polycard_client=offers&wid=MLB5317594942&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Micro-ondas Britânia Bmo38 33 Litros Limpa Fácil Painel Digital 1400w Branco Com Detalhe Preto 110v,928,"R$835,59",9% OFF no Pix,https://www.mercadolivre.com.br/micro-ondas-britnia-bmo38-33-litros-limpa-facil-painel-digital-1400w-branco-com-detalhe-preto-110v/p/MLB36704027?pdp_filters=item_id%3AMLB4961513176#polycard_client=offers&wid=MLB4961513176&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Starlink Mini Internet Via Satélite Mercado Envios + Nf,2.890,R$1.849,36% OFF,https://produto.mercadolivre.com.br/MLB-4048681195-starlink-mini-internet-via-satelite-mercado-envios-nf-_JM#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579&wid=MLB4048681195&sid=offers
Purificador De Água Gelada Fria E Natural Eletrônico Ibbl E-due Equilibrium Grafite Bivolt,540,"R$410,40",24% OFF no Pix,https://www.mercadolivre.com.br/purificador-de-agua-gelada-fria-e-natural-eletrnico-ibbl-e-due-equilibrium-grafite-bivolt/p/MLB23502935?pdp_filters=item_id%3AMLB3671316179#polycard_client=offers&wid=MLB3671316179&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Cooktop A Gás Itatiaia Preto 5 Bocas Essencial Bivolt 127v/220v 620ct50153,569,R$379,33% OFF,https://www.mercadolivre.com.br/cooktop-a-gas-itatiaia-preto-5-bocas-essencial-bivolt-127v220v-620ct50153/p/MLB23997577?pdp_filters=item_id%3AMLB3468740757#polycard_client=offers&wid=MLB3468740757&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Calça Cargo Jogger Jeans Feminina Cintura Alta Com Lycra,109,"R$69,64",36% OFF,https://produto.mercadolivre.com.br/MLB-3673376894-calca-cargo-jogger-jeans-feminina-cintura-alta-com-lycra-_JM#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Smartphone Motorola Moto E13 Dual Sim 64 Gb Grafite 4 Gb Ram,899,R$589,34% OFF,https://www.mercadolivre.com.br/smartphone-motorola-moto-e13-dual-sim-64-gb-grafite-4-gb-ram/p/MLB26878122?pdp_filters=item_id%3AMLB5299528836#polycard_client=offers&wid=MLB5299528836&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Micro-ondas Mto30 20l Com Função Tira Odor E Descongelar Cor Branco Electrolux 220v,649,"R$496,85",23% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/micro-ondas-mto30-20l-com-funco-tira-odor-e-descongelar-cor-branco-electrolux-220v/p/MLB6309816?pdp_filters=item_id%3AMLB1646215661#polycard_client=offers&wid=MLB1646215661&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Taiff Black Ion Secador De Cabelo Profissional 2000w Cor Preto 110v,497,"R$247,86",50% OFF,https://www.mercadolivre.com.br/taiff-black-ion-secador-de-cabelo-profissional-2000w-cor-preto-110v/p/MLB18580665?pdp_filters=item_id%3AMLB2184370755#polycard_client=offers&wid=MLB2184370755&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Rifle Airsoft M4 E Pistola 24/7  Vigor Spring Rossi Taurus,538,"R$283,05",47% OFF,https://produto.mercadolivre.com.br/MLB-2674740579-rifle-airsoft-m4-e-pistola-247-vigor-spring-rossi-taurus-_JM#polycard_client=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Máquina De Lavar Bwk13ab 13kg Branca Brastemp Cor Branco 110v,2.199,R$1.899,13% OFF,https://www.mercadolivre.com.br/maquina-de-lavar-bwk13ab-13kg-branca-brastemp-cor-branco-110v/p/MLB27592682?pdp_filters=item_id%3AMLB4148593028#polycard_client=offers&wid=MLB4148593028&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
"Samsung Galaxy A05s 128gb Dual Sim Tela Infinita De 6,7'' Cor Prata 6gb Ram",999,R$999,,https://www.mercadolivre.com.br/samsung-galaxy-a05s-128gb-dual-sim-tela-infinita-de-67-cor-prata-6gb-ram/p/MLB37699141?pdp_filters=item_id%3AMLB3994183997#polycard_client=offers&wid=MLB3994183997&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Micro-ondas Pmo28b Philco Branco 127v 1100w,699,R$492,29% OFF,https://www.mercadolivre.com.br/micro-ondas-pmo28b-philco-branco-127v-1100w/p/MLB34352713?pdp_filters=item_id%3AMLB4595400078#polycard_client=offers&wid=MLB4595400078&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
Câmera Segurança Wifi Ip Dupla Lente A28 C/ Cartao 64gb Prova D'agua App Icsee Cor Branco/preto,299,"R$179,18",40% OFF,https://www.mercadolivre.com.br/cmera-seguranca-wifi-ip-dupla-lente-a28-c-cartao-64gb-prova-dagua-app-icsee-cor-brancopreto/p/MLB47605276?pdp_filters=item_id%3AMLB4018432841#polycard_client=offers&wid=MLB4018432841&sid=offers&deal_print_id=ce2c5ac2-5220-4a1f-80a4-558760eee75d&tracking_id=bf0c604e-3534-4f68-b982-3b29abe7c579
