titulo,preco_antigo,preco_novo,desconto,link
Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Escuro,1.099,"R$809,10",26% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/smartphone-motorola-moto-g15-128gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-e-night-vision-bateria-de-5200-mah-tela-fhd-67-com-superbrilho-nfc-azul-escuro/p/MLB46056608?pdp_filters=item_id%3AMLB3975530813#polycard_client=offers&wid=MLB3975530813&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=42
Fritadeira De Ar Petit Fry Elétrica 3.7l Preta Elgin Cor Preto 127v,299,"R$189,90",36% OFF,https://www.mercadolivre.com.br/fritadeira-de-ar-petit-fry-eletrica-37l-preta-elgin-cor-preto-127v/p/MLB46644544?pdp_filters=item_id%3AMLB4011603369#polycard_client=offers&wid=MLB4011603369&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=43
Creatina Monohidratada 500g Soldiers Nutrition Sabor Natural,129,"R$62,90",51% OFF,https://www.mercadolivre.com.br/creatina-monohidratada-500g-soldiers-nutrition-sabor-natural/p/MLB18725308?pdp_filters=item_id%3AMLB2794699684#polycard_client=offers&wid=MLB2794699684&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=44
Jogo De Panelas Tramontina Turim Em Alumínio Com Revestimento Interno E Externo Em Antiaderente Starflon Max Vermelho 10 Peças,344,"R$344,99",,https://www.mercadolivre.com.br/jogo-de-panelas-tramontina-turim-em-aluminio-com-revestimento-interno-e-externo-em-antiaderente-starflon-max-vermelho-10-pecas/p/MLB47813487?pdp_filters=item_id%3AMLB5351998260#polycard_client=offers&wid=MLB5351998260&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=45
Micro-ondas Brastemp Bms46ar 32 L Com Menu Gourmet Cinza 110v,949,R$709,25% OFF,https://www.mercadolivre.com.br/micro-ondas-brastemp-bms46ar-32-l-com-menu-gourmet-cinza-110v/p/MLB19119111?pdp_filters=item_id%3AMLB2926181688#polycard_client=offers&wid=MLB2926181688&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=46
Smart Tv Samsung Un43t5300 43  Full Hd,1.999,R$1.599,20% OFF,https://www.mercadolivre.com.br/smart-tv-samsung-un43t5300-43-full-hd/p/MLB15796379?pdp_filters=item_id%3AMLB3822286697#polycard_client=offers&wid=MLB3822286697&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=47
Escova Oval Secadora Taiff Easy Lilás 1200w 127v,274,"R$183,44",33% OFF,https://www.mercadolivre.com.br/escova-oval-secadora-taiff-easy-lilas-1200w-127v/p/MLB22762055?pdp_filters=item_id%3AMLB3722619967#polycard_client=offers&wid=MLB3722619967&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=48
"Smartphone Samsung Galaxy A25 5g 256gb 8gb Ram Dual Sim Android 14 Azul-escuro 6,5''",1.998,R$1.275,36% OFF no Pix,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a25-5g-256gb-8gb-ram-dual-sim-android-14-azul-escuro-65/p/MLB31498601?pdp_filters=item_id%3AMLB3870690135#polycard_client=offers&wid=MLB3870690135&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=49
Máquina De Lavar Electrolux 14kg Branca Essential Care Com Cesto Inox E Jet&clean Led14 110v,2.099,R$1.795,14% OFF no Pix ou Saldo no Mercado Pago,https://www.mercadolivre.com.br/maquina-de-lavar-electrolux-14kg-branca-essential-care-com-cesto-inox-e-jetclean-led14-110v/p/MLB17920363?pdp_filters=item_id%3AMLB2042425192#polycard_client=offers&wid=MLB2042425192&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=50
"Kit Trio Limpeza, Hidratação E Proteção Solar Gl + Ah + Ps",147,R$117,20% OFF,https://produto.mercadolivre.com.br/MLB-4355765476-kit-trio-limpeza-hidrataco-e-proteco-solar-gl-ah-ps-_JM#polycard_client=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&position=51&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&wid=MLB4355765476&sid=offers
Tablet Samsung Galaxy Tab A9+ Wi-fi 64gb 4gb Ram Tela 11  Grafite - Sm-x210nzaazto,1.599,R$1.186,25% OFF no Pix,https://www.mercadolivre.com.br/tablet-samsung-galaxy-tab-a9-wi-fi-64gb-4gb-ram-tela-11-grafite-sm-x210nzaazto/p/MLB29687357?pdp_filters=item_id%3AMLB3802289005#polycard_client=offers&wid=MLB3802289005&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=52
Ar Condicionado Split Philco Inverter 12.000 Btu Frio Branco 220v,2.999,R$2.249,25% OFF,https://www.mercadolivre.com.br/ar-condicionado-split-philco-inverter-12000-btu-frio-branco-220v/p/MLB28749201?pdp_filters=item_id%3AMLB4512893510#polycard_client=offers&wid=MLB4512893510&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=53
Tcl Qled Smart Tv 50 C655 4k Uhd Google Tv Dolby Vision,2.699,R$2.096,22% OFF,https://www.mercadolivre.com.br/tcl-qled-smart-tv-50-c655-4k-uhd-google-tv-dolby-vision/p/MLB36337624?pdp_filters=item_id%3AMLB4648718238#polycard_client=offers&wid=MLB4648718238&sid=offers&deal_print_id=f1b37430-ce15-44cc-a28f-57ee1a0334b9&tracking_id=85036982-af31-4e41-9a4c-7cd471e31831&position=54
